locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNMCCAHI_00001	CDS	2427		3.2.1.-		Beta-xylosidase
HNMCCAHI_00002	CDS	822	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
HNMCCAHI_00003	CDS	894	melD		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
HNMCCAHI_00004	CDS	1302				hypothetical protein
HNMCCAHI_00005	CDS	1032	cytR_1		COG1609	HTH-type transcriptional repressor CytR
HNMCCAHI_00006	CDS	366				hypothetical protein
HNMCCAHI_00007	CDS	753				hypothetical protein
HNMCCAHI_00008	CDS	3300				hypothetical protein
HNMCCAHI_00009	CDS	423				hypothetical protein
HNMCCAHI_00010	CDS	882	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
HNMCCAHI_00011	CDS	816	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
HNMCCAHI_00012	CDS	1047				hypothetical protein
HNMCCAHI_00013	CDS	1167	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
HNMCCAHI_00014	CDS	1110		1.18.1.2		Ferredoxin--NADP reductase
HNMCCAHI_00015	CDS	480	mltG_1	4.2.2.-		Endolytic murein transglycosylase
HNMCCAHI_00016	CDS	771				hypothetical protein
HNMCCAHI_00017	CDS	408				hypothetical protein
HNMCCAHI_00018	CDS	729	kdpE		COG0745	Transcriptional regulatory protein KdpE
HNMCCAHI_00019	CDS	2559	kdpD_1	2.7.13.3	COG2205	Sensor protein KdpD
HNMCCAHI_00020	CDS	744	ytrE_1		COG1136	ABC transporter ATP-binding protein YtrE
HNMCCAHI_00021	CDS	792	lvr_1	1.1.1.-		Levodione reductase
HNMCCAHI_00022	CDS	645				hypothetical protein
HNMCCAHI_00023	CDS	765				hypothetical protein
HNMCCAHI_00024	CDS	516	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
HNMCCAHI_00025	CDS	534				hypothetical protein
HNMCCAHI_00026	CDS	459				hypothetical protein
HNMCCAHI_00027	CDS	942				hypothetical protein
HNMCCAHI_00028	CDS	297				hypothetical protein
HNMCCAHI_00029	CDS	1272	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
HNMCCAHI_00030	CDS	654	tcrA		COG0745	Transcriptional regulatory protein TcrA
HNMCCAHI_00031	CDS	177				hypothetical protein
HNMCCAHI_00032	CDS	1074				hypothetical protein
HNMCCAHI_00033	CDS	1359				hypothetical protein
HNMCCAHI_00034	CDS	429				hypothetical protein
